stock_code,description,units_sold,revenue,orders
16054,POPART RECT PENCIL SHARPENER ASST,1166.0,140.52,33
16151A,FLOWERS HANDBAG blue and orange,49.0,61.25,3
16156L,WRAP CAROUSEL,375.0,157.5,14
16156L,"WRAP, CAROUSEL",100.0,42.0,4
16156S,WRAP PINK FAIRY CAKES ,5800.0,2331.0,167
16161G,WRAP BAD HAIR DAY,700.0,70.0,22
16161M,WRAP  PINK FLOCK,25.0,10.5,1
16161P,WRAP ENGLISH ROSE ,7201.0,2980.42,248
16161U,WRAP SUKI AND FRIENDS,4075.0,1687.5,134
16162L,THE KING GIFT BAG,20.0,13.0,8
16162M,THE KING GIFT BAG 25x24x12cm,28.0,11.76,8
16168M,FUNKY MONKEY GIFT BAG MEDIUM,371.0,173.12,41
16169E,WRAP 50'S  CHRISTMAS,4563.0,1892.46,149
16169K,WRAP FOLK ART,200.0,84.0,8
16169M,WRAP DAISY CARPET ,660.0,277.2,25
16169N,WRAP BLUE RUSSIAN FOLKART,25.0,10.5,1
16169P,WRAP GREEN RUSSIAN FOLKART ,50.0,21.0,2
16202A,PASTEL PINK PHOTO ALBUM ,7.0,3.5,2
16202B,PASTEL BLUE PHOTO ALBUM ,29.0,14.5,2
16202E,BLACK PHOTO ALBUM ,15.0,7.5,3
16206B,RED PURSE WITH PINK HEART,7.0,8.75,2
16207A,PINK STRAWBERRY HANDBAG ,60.0,163.1,34
16207B,PINK HEART RED HANDBAG,29.0,76.14,18
16216,LETTER SHAPE PENCIL SHARPENER,3333.0,234.0,45
16218,CARTOON  PENCIL SHARPENERS,3821.0,283.31,64
16219,HOUSE SHAPE PENCIL SHARPENER,3048.0,407.72,100
16225,RATTLE SNAKE EGGS,813.0,689.35,102
16235,RECYCLED PENCIL WITH RABBIT ERASER,3068.0,695.4,168
16236,KITTY PENCIL ERASERS,1438.0,320.09,136
16237,SLEEPING CAT ERASERS,4991.0,1047.93,290
16238,PARTY TIME PENCIL ERASERS,1396.0,321.67,134
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.0,7.85,2
16248B,BLUE HOLE PUNCH,13.0,16.25,7
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40.0,42.58,17
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,472.0,178.97,59
16259,PIECE OF CAMO STATIONERY SET,3380.0,326.56,31
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72.0,20.88,1
17003,BROCADE RING PURSE ,23020.0,6025.95,239
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24.0,50.4,2
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,81.0,66.36,7
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,323.0,375.93,65
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525.0,595.85,85
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,420.0,481.8,85
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,461.0,547.24,97
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,44.0,62.64,10
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,448.0,530.6,94
17013D,ORIGAMI ROSE INCENSE IN TUBE,535.0,267.82,13
17014A,ORIGAMI VANILLA INCENSE CONES,155.0,71.19,8
17021,NAMASTE SWAGAT INCENSE,2391.0,632.34,47
17028J,INCENSE BAZAAR PEACH,6.0,2.52,1
17038,PORCELAIN BUDAH INCENSE HOLDER,1525.0,158.06,34
17084A,TRANQUILITY MASALA INCENSE,200.0,42.0,7
17084J,LOVE POTION MASALA INCENSE,225.0,47.25,8
17084N,FAIRY DREAMS INCENSE ,1264.0,313.31,101
17084P,DRAGONS BLOOD INCENSE,423.0,104.44,39
17084R,ASSORTED INCENSE PACK,4032.0,760.32,27
17090A,LAVENDER INCENSE 40 CONES IN TIN,109.0,107.45,10
17090D,VANILLA INCENSE 40 CONES IN TIN,29.0,36.25,12
17091A,LAVENDER INCENSE IN TIN,171.0,98.91,25
17091J,VANILLA INCENSE IN TIN,2084.0,920.67,95
17096,ASSORTED LAQUERED INCENSE HOLDERS,2545.0,455.98,24
17107D,FLOWER FAIRY 5 DRAWER LINERS,59.0,150.45,20
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6.0,15.3,1
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105.0,267.75,25
17109D,FLOWER FAIRY INCENSE BOUQUET,61.0,32.35,5
17129F,BLUE GLASS GEMS IN BAG,588.0,553.83,57
17136A,BLUE STONES ON WIRE FOR CANDLE,352.0,29.59,17
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27.0,11.34,9
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27.0,28.35,7
17174,ASSTD RASTA KEY-CHAINS,9.0,3.78,3
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4.0,15.0,2
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884.0,395.61,30
18094C,WHITE AND BLUE CERAMIC OIL BURNER,192.0,283.93,42
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5.0,12.75,4
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,695.0,1591.01,69
18098c,PORCELAIN BUTTERFLY OIL BURNER,52.0,263.12,12
18098C,PORCELAIN BUTTERFLY OIL BURNER,213.0,658.75,49
20615,BLUE POLKADOT PASSPORT COVER,309.0,466.99,95
20616,CHERRY BLOSSOM PASSPORT COVER,194.0,243.53,71
20617,FIRST CLASS PASSPORT COVER ,93.0,194.94,43
20618,QUEEN OF THE SKIES PASSPORT COVER ,148.0,286.39,76
20619,TROPICAL PASSPORT COVER ,262.0,439.65,99
20622,VIP PASSPORT COVER ,43.0,94.04,17
20622,VIPPASSPORT COVER ,142.0,209.66,34
20652,BLUE POLKADOT LUGGAGE TAG ,265.0,346.86,78
20653,CHERRY BLOSSOM LUGGAGE TAG,73.0,95.18,33
20654,FIRST CLASS LUGGAGE TAG ,152.0,193.59,49
20655,QUEEN OF SKIES LUGGAGE TAG,197.0,292.29,99
20657,TROPICAL LUGGAGE TAG,73.0,105.91,33
20658,RED RETROSPOT LUGGAGE TAG,433.0,652.11,105
20659,ECONOMY LUGGAGE TAG,158.0,246.84,62
20661,BLUE POLKADOT PURSE ,44.0,141.15,33
20662,FIRST CLASS HOLIDAY PURSE ,31.0,90.42,20
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,25.0,66.26,20
20664,TROPICAL HOLIDAY PURSE ,32.0,81.66,18
20665,RED RETROSPOT PURSE ,461.0,1546.27,156
20666,ECONOMY HOLIDAY PURSE,30.0,41.53,17
20667,CHERRY BLOSSOM PURSE,20.0,49.69,16
20668,DISCO BALL CHRISTMAS DECORATION,12883.0,1501.4,215
20669,RED HEART LUGGAGE TAG,304.0,447.34,96
20670,VIP HOLIDAY PURSE,14.0,44.04,11
20671,BLUE TEATIME PRINT BOWL ,10.0,12.5,2
20674,GREEN POLKADOT BOWL,1563.0,2016.23,205
20675,BLUE POLKADOT BOWL,3120.0,3983.12,322
20676,RED RETROSPOT BOWL,5023.0,6374.81,448
20677,PINK POLKADOT BOWL,3674.0,4747.34,333
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4.0,6.6,1
20679,EDWARDIAN PARASOL RED,1710.0,10021.42,326
20681,PINK POLKADOT CHILDRENS UMBRELLA,140.0,506.96,46
20682,RED RETROSPOT CHILDRENS UMBRELLA,1235.0,4171.33,237
20684,STRAWBERRY DREAM CHILDS UMBRELLA,80.0,270.56,35
20685,DOORMAT RED RETROSPOT,4088.0,28049.54,696
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,267.0,922.67,77
20694,FLORAL PINK MONSTER,43.0,187.54,16
20695,FLORAL BLUE MONSTER,5.0,21.25,4
20696,FLORAL SOFT CAR TOY,54.0,230.81,30
20697,LITTLE GREEN MONSTER SOFT TOY,19.0,48.45,11
20698,LITTLE PINK MONSTER SOFT TOY,17.0,43.35,8
20699,MOUSEY LONG LEGS SOFT TOY,97.0,266.03,41
20700,GREEN CAT FLORAL CUSHION COVER ,73.0,345.17,54
20701,PINK CAT FLORAL CUSHION COVER ,25.0,100.97,18
20702,PINK PADDED MOBILE,134.0,573.54,42
20703,BLUE PADDED SOFT MOBILE,1.0,4.25,1
20704,MR ROBOT SOFT TOY,216.0,697.7,44
20705,MRS ROBOT SOFT TOY,143.0,428.85,28
20707,CRAZY DAISY HEART DECORATION,464.0,468.39,149
20711,JUMBO BAG TOYS ,5007.0,11014.62,522
20712,JUMBO BAG WOODLAND ANIMALS,9773.0,22092.42,863
20713,JUMBO BAG OWLS,11429.0,23001.06,657
20716,PARTY FOOD SHOPPER BAG,400.0,469.63,73
20717,STRAWBERRY SHOPPER BAG,2855.0,3561.98,412
20718,RED RETROSPOT SHOPPER BAG,4769.0,6604.29,575
20719,WOODLAND CHARLOTTE BAG,13290.0,16744.45,833
20723,STRAWBERRY CHARLOTTE BAG,9793.0,12548.15,722
20724,RED RETROSPOT CHARLOTTE BAG,17761.0,21773.39,1032
20725,LUNCH BAG RED RETROSPOT,19232.0,35572.36,1564
20725,LUNCH BAG RED SPOTTY,200.0,290.0,1
20726,LUNCH BAG WOODLAND,9909.0,18283.78,1017
20727,LUNCH BAG  BLACK SKULL.,12195.0,22346.96,1273
20728,LUNCH BAG CARS BLUE,11786.0,21699.48,1150
20731,POSY CANDY BAG,92.0,109.96,16
20733,GOLD MINI TAPE MEASURE ,1234.0,956.36,205
20734,SILVER MINI TAPE MEASURE ,158.0,271.22,26
20735,BLACK MINI TAPE MEASURE ,623.0,625.8,112
20748,KENSINGTON COFFEE SET,57.0,751.17,34
20749,ASSORTED COLOUR MINI CASES,1762.0,12550.57,383
20750,RED RETROSPOT MINI CASES,1747.0,12634.98,385
20751,FUNKY WASHING UP GLOVES ASSORTED,971.0,2041.52,198
20752,BLUE POLKADOT WASHING UP GLOVES,407.0,920.45,148
20754,RETROSPOT RED WASHING UP GLOVES,1457.0,3088.86,304
20755,BLUE PAISLEY POCKET BOOK,306.0,271.17,62
20756,GREEN FERN POCKET BOOK,63.0,53.55,22
20757,RED DAISY POCKET BOOK ,158.0,136.64,33
20758,ABSTRACT CIRCLES POCKET BOOK,159.0,135.15,42
20759,CHRYSANTHEMUM POCKET BOOK ,64.0,54.4,20
20760,GARDEN PATH POCKET BOOK,69.0,58.65,21
20761,BLUE PAISLEY SKETCHBOOK,120.0,505.97,63
20762,GREEN FERN SKETCHBOOK ,106.0,420.08,56
20763,DAISY SKETCHBOOK ,73.0,205.04,27
20764,ABSTRACT CIRCLES SKETCHBOOK ,142.0,603.31,76
20765,CHRYSANTHEMUM SKETCHBOOK ,102.0,416.05,59
20766,GARDEN PATH SKETCHBOOK,122.0,493.57,57
20767,BLUE PAISLEY JOURNAL ,250.0,656.06,79
20768,GREEN FERN JOURNAL ,176.0,438.57,55
20769,DAISY JOURNAL ,80.0,217.56,34
20770,ABSTRACT CIRCLE JOURNAL ,184.0,447.25,72
20771,CHRYSANTHEMUM  JOURNAL,102.0,267.13,40
20772,GARDEN PATH JOURNAL,247.0,621.19,65
20773,BLUE PAISLEY NOTEBOOK,56.0,92.4,23
20774,GREEN FERN NOTEBOOK,86.0,141.24,44
20775,DAISY NOTEBOOK ,134.0,233.54,63
20777,CHRYSANTHEMUM NOTEBOOK,169.0,282.49,80
20778,GARDEN PATH NOTEBOOK ,15.0,24.75,8
20780,BLACK EAR MUFF HEADPHONES,47.0,312.7,28
20781,GOLD EAR MUFF HEADPHONES,35.0,212.26,25
20782,CAMOUFLAGE EAR MUFF HEADPHONES,53.0,368.08,27
20785,FUSCHIA RETRO BAR STOOL,14.0,523.3,5
20793,BLUE TILED TRAY,8.0,54.0,4
20794,BLUE  TILE HOOK,99.0,282.79,27
20795,LARGE BLUE PROVENCAL CERAMIC BALL,49.0,113.05,11
20796,SMALL BLUE PROVENCAL CERAMIC BALL,62.0,103.94,9
20798,CLEAR MILKSHAKE GLASS,36.0,75.6,5
20801,LARGE PINK GLASS SUNDAE DISH,1013.0,1157.8,81
20802,SMALL GLASS SUNDAE DISH CLEAR,739.0,984.47,63
20803,SMALL PINK GLASS SUNDAE DISH,939.0,476.38,40
20816,GOLD FLOWER CUSHION COVER ,8.0,15.6,2
20818,GOLD TEDDY BEAR,15.0,42.7,5
20819,SILVER TEDDY BEAR,64.0,244.72,27
20820,SILVER LOOKING MIRROR,5.0,24.75,2
20821,GOLDIE LOOKING MIRROR,17.0,84.15,6
20823,GOLD WINE GOBLET,164.0,129.56,8
20826,SILVER APERITIF GLASS,276.0,128.4,8
20827,GOLD APERITIF GLASS,88.0,34.32,2
20828,GLITTER BUTTERFLY CLIPS,1128.0,3074.78,241
20829,GLITTER HANGING BUTTERFLY STRING,1314.0,2722.95,194
20830,SILVER PHOTO FRAME,136.0,409.83,37
20831,GOLD PHOTO FRAME,216.0,466.53,39
20832,RED FLOCK LOVE HEART PHOTO FRAME,1067.0,572.67,82
20835,FRENCH LATTICE CUSHION COVER ,67.0,65.8,8
20836,FRENCH PAISLEY CUSHION COVER,170.0,141.1,17
20837,FRENCH FLORAL CUSHION COVER ,141.0,142.47,15
20838,FRENCH LATTICE CUSHION COVER ,385.0,461.45,57
20839,FRENCH PAISLEY CUSHION COVER ,575.0,840.44,105
20840,FRENCH FLORAL CUSHION COVER ,533.0,632.32,74
20845,ZINC HEART LATTICE 2 WALL PLANTER,19.0,120.65,11
20846,ZINC HEART LATTICE T-LIGHT HOLDER,716.0,957.32,88
20847,ZINC HEART LATTICE CHARGER LARGE,52.0,217.58,18
20848,ZINC HEART LATTICE CHARGER SMALL,21.0,61.95,8
20851,ZINC HEART LATTICE TRAY OVAL ,9.0,53.55,7
20854,BLUE PATCH PURSE PINK HEART,242.0,383.02,41
20856,DENIM PATCH PURSE PINK BUTTERFLY,216.0,357.29,61
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32.0,52.8,8
20860,GOLD COSMETICS BAG WITH BUTTERFLY,1.0,2.1,1
20861,GOLD COSMETIC BAG PINK STAR,2.0,4.2,2
20866,BLUE ROSE FABRIC MIRROR,597.0,709.7,90
20867,PINK ROSE FABRIC MIRROR,331.0,393.47,62
20868,SILVER FABRIC MIRROR,458.0,219.35,46
20869,GOLD FABRIC MIRROR,180.0,86.76,29
20871,OPULENT VELVET SET/3 CANDLES,2.0,8.42,1
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,24.0,30.0,7
20886,BOX OF 9 PEBBLE CANDLES,485.0,986.23,103
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,4.0,89.22,3
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,268.0,609.02,26
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,33.0,108.71,15
20897,VINTAGE NOTEBOOK PARIS DAYS,107.0,298.27,24
20898,VINTAGE NOTEBOOK TRAVELOGUE,38.0,105.73,13
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,19.0,85.13,15
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,112.0,686.86,56
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,82.0,441.89,56
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3.0,8.85,2
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8.0,50.8,3
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6073.0,17623.35,879
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288.0,734.4,1
20931,BLUE POT PLANT CANDLE ,299.0,1060.9,68
20932,PINK POT PLANT CANDLE,204.0,628.79,35
20933,YELLOW POT PLANT CANDLE,23.0,71.05,9
20934,SET/3 POT PLANT CANDLES,68.0,424.46,32
20935,ROUND CACTUS CANDLE,6.0,17.7,4
20936,FORKED CACTUS CANDLE,100.0,319.66,34
20941,FROG CANDLE,64.0,83.78,19
20954,*USB Office Mirror Ball,2.0,16.94,2
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,822.0,1146.52,101
20960,WATERMELON BATH SPONGE,29.0,72.49,10
20961,STRAWBERRY BATH SPONGE ,1232.0,1745.43,228
20963,APPLE BATH SPONGE,1336.0,1911.17,229
20964,POLYESTER FILLER PAD 60x40cm,2.0,5.1,1
20966,SANDWICH BATH SPONGE,719.0,1022.8,97
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,265.0,1027.94,83
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1960.0,7229.43,305
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1116.0,4232.13,262
20971,PINK BLUE FELT CRAFT TRINKET BOX,10993.0,13828.1,522
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7337.0,9128.06,616
20973,12 PENCIL SMALL TUBE WOODLAND,4497.0,3210.27,355
20974,12 PENCILS SMALL TUBE SKULL,6976.0,4527.43,355
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6633.0,4383.27,362
20977,36 PENCILS TUBE WOODLAND,1739.0,2328.64,185
20978,36 PENCILS TUBE SKULLS,1795.0,2395.05,263
20979,36 PENCILS TUBE RED RETROSPOT,3734.0,4723.73,325
20980,36 PENCILS TUBE POSY,79.0,76.91,20
20981,12 PENCILS TALL TUBE WOODLAND,1974.0,1740.57,249
20982,12 PENCILS TALL TUBE SKULLS,2151.0,1880.67,256
20983,12 PENCILS TALL TUBE RED RETROSPOT,2737.0,2374.81,268
20984,12 PENCILS TALL TUBE POSY,3785.0,1166.07,170
20985,HEART CALCULATOR,1179.0,1540.59,131
20986,BLUE CALCULATOR RULER,654.0,829.74,113
20992,JAZZ HEARTS PURSE NOTEBOOK,4425.0,1944.63,277
20996,JAZZ HEARTS ADDRESS BOOK,3191.0,726.89,225
20997,ROSE DU SUD CUSHION COVER ,59.0,257.61,34
20998,ROSE DU SUD OVEN GLOVE,185.0,505.2,69
21000,ROSE DU SUD COSMETICS BAG,96.0,360.84,52
21001,ROSE DU SUD WASHBAG ,73.0,348.19,50
21002,ROSE DU SUD DRAWSTRING BAG,125.0,428.66,66
21003,ROSE DU SUD CUSHION COVER,78.0,460.58,46
21009,ETCHED GLASS STAR TREE DECORATION,1.0,1.25,1
21011,GLITTER SNOW PEAR TREE DECORATION,20.0,29.0,3
21012,ANTIQUE ALL GLASS CANDLESTICK,1169.0,2614.05,199
21014,SWISS CHALET TREE DECORATION ,1385.0,598.82,119
21015,DARK BIRD HOUSE TREE DECORATION,1483.0,589.55,142
21018,BIRD BOX CHRISTMAS TREE DECORATION,24.0,22.06,6
21025,SPACE FROG,174.0,233.52,56
21026,SPACE OWL,255.0,315.75,68
21027,NINJA RABBIT PINK,167.0,187.79,42
21028,NINJA RABBIT BLACK,187.0,239.24,58
21030,SPACE CADET RED,131.0,159.7,33
21031,SPACE CADET BLACK,52.0,64.24,19
21032,SPACE CADET WHITE,97.0,117.78,30
21033,JUMBO BAG CHARLIE AND LOLA TOYS,1932.0,4851.73,300
21034,REX CASH+CARRY JUMBO SHOPPER,1878.0,1784.1,871
21035,SET/2 RED RETROSPOT TEA TOWELS ,2599.0,8536.85,394
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,77.0,86.75,23
21039,RED RETROSPOT SHOPPING BAG,523.0,1353.69,90
21040,MODERN VINTAGE COTTON SHOPPING BAG,22.0,29.7,8
21041,RED RETROSPOT OVEN GLOVE DOUBLE,914.0,3888.98,255
21042,RED RETROSPOT APRON ,334.0,2199.52,131
21043,APRON MODERN VINTAGE COTTON,492.0,1139.86,90
21051,RIBBONS PURSE ,192.0,377.2,51
21054,NURSE'S BAG SOFT TOY,70.0,634.53,29
21055,TOOL BOX SOFT TOY ,178.0,1764.64,105
21056,DOCTOR'S BAG SOFT TOY,184.0,1765.4,72
21058,PARTY INVITES WOODLAND,1154.0,965.66,122
21059,PARTY INVITES DINOSAURS,611.0,528.23,94
21060,PARTY INVITES BALLOON GIRL,405.0,359.29,71
21061,PARTY INVITES FOOTBALL,488.0,451.7,83
21062,PARTY INVITES SPACEMAN,538.0,457.38,74
21063,PARTY INVITES JAZZ HEARTS,528.0,458.31,102
21064,BOOM BOX SPEAKER BOYS,296.0,1281.2,101
21065,BOOM BOX SPEAKER GIRLS,562.0,1160.58,90
21066,VINTAGE RED MUG,702.0,693.47,54
21067,VINTAGE RED TEATIME MUG,317.0,504.15,76
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1638.0,1890.33,198
21069,VINTAGE BILLBOARD TEA MUG,1949.0,2250.52,86
21070,VINTAGE BILLBOARD MUG ,1106.0,1184.98,107
21071,VINTAGE BILLBOARD DRINK ME MUG,991.0,1380.28,177
21078,SET/20 STRAWBERRY PAPER NAPKINS ,2769.0,2531.04,313
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,13202.0,11312.56,986
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,88.0,143.44,25
21084,SET/6 COLLAGE PAPER CUPS,2610.0,773.14,181
21086,SET/6 RED SPOTTY PAPER CUPS,7121.0,4851.5,428
21087,SET/6 POSIES PAPER CUPS,141.0,74.57,16
21088,SET/6 FRUIT SALAD PAPER CUPS,1678.0,428.28,103
21089,SET/6 GREEN SPRING PAPER CUPS,233.0,48.99,25
21090,SET/6 COLLAGE PAPER PLATES,2413.0,1274.19,217
21094,SET/6 RED SPOTTY PAPER PLATES,8758.0,6933.26,527
21095,SET/6 POSIES PAPER PLATES,125.0,118.73,14
21096,SET/6 FRUIT SALAD  PAPER PLATES,1259.0,581.09,105
21098,CHRISTMAS TOILET ROLL,3719.0,5078.76,248
21100,CHARLIE AND LOLA CHARLOTTE BAG,65.0,162.21,27
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,237.0,702.51,53
21107,CREAM SLICE FLANNEL PINK SPOT ,901.0,2492.71,97
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10241.0,18056.28,262
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,925.0,2661.67,104
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",11.0,101.53,8
21110,LARGE CAKE TOWEL PINK SPOTS,1105.0,3815.7,134
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",900.0,1651.02,94
21112,SWISS ROLL TOWEL PINK  SPOTS,706.0,1913.69,39
21112,"SWISS ROLL TOWEL, PINK  SPOTS",653.0,971.44,43
21114,LAVENDER SCENTED FABRIC HEART,1341.0,1778.08,138
21115,ROSE CARAVAN DOORSTOP,562.0,3162.24,162
21116,OWL DOORSTOP,695.0,4051.79,251
21117,BLOND DOLL DOORSTOP,109.0,141.75,14
21120,*Boombox Ipod Classic,1.0,16.98,1
21121,SET/10 RED POLKADOT PARTY CANDLES,6606.0,7998.85,379
21122,SET/10 PINK POLKADOT PARTY CANDLES,5325.0,6488.54,344
21123,SET/10 IVORY POLKADOT PARTY CANDLES,1143.0,1380.84,154
21124,SET/10 BLUE POLKADOT PARTY CANDLES,4011.0,4863.05,240
21125,SET 6 FOOTBALL CELEBRATION CANDLES,657.0,830.98,103
21126,SET OF 6 GIRLS CELEBRATION CANDLES,592.0,748.95,126
21128,GOLD FISHING GNOME,68.0,546.6,36
21129,SILVER FISHING GNOME ,52.0,419.52,27
21131,GOLD STANDING GNOME,106.0,398.02,28
21132,SILVER STANDING GNOME   ,44.0,217.36,22
21135,VICTORIAN  METAL POSTCARD SPRING,2869.0,3206.0,177
21136,PAINTED METAL PEARS ASSORTED,4687.0,7793.14,370
21137,BLACK RECORD COVER FRAME,11651.0,40633.38,375
21143,ANTIQUE GLASS HEART DECORATION ,327.0,707.23,36
21144,PINK POODLE HANGING DECORATION ,5.0,16.8,2
21145,ANTIQUE GLASS PLACE SETTING,122.0,152.5,8
21147,JINGLE BELLS TREE DECORATION,203.0,415.77,76
21154,RED RETROSPOT OVEN GLOVE ,4034.0,6320.51,451
21155,RED RETROSPOT PEG BAG,3155.0,9296.3,485
21156,RETROSPOT CHILDRENS APRON,3170.0,6091.1,358
21157,RED RETROSPOT WASHBAG,78.0,225.5,34
21158,MOODY GIRL DOOR HANGER ,1469.0,781.87,170
21159,MOODY BOY  DOOR HANGER ,1126.0,601.79,124
21160,KEEP OUT GIRLS DOOR HANGER ,1.0,3.36,1
21161,KEEP OUT BOYS DOOR HANGER ,143.0,229.92,43
21162,TOXIC AREA  DOOR HANGER ,1462.0,792.98,162
21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1196.0,680.55,127
21164,HOME SWEET HOME METAL SIGN ,1766.0,5155.98,282
21165,BEWARE OF THE CAT METAL SIGN ,4154.0,6935.7,449
21166,COOK WITH WINE METAL SIGN ,10324.0,20874.44,723
21167,WHITE SAGE INCENSE,1432.0,337.14,67
21169,YOU'RE CONFUSING ME METAL SIGN ,4413.0,7301.77,450
21171,BATHROOM METAL SIGN ,438.0,613.14,73
21172,PARTY METAL SIGN ,3485.0,5338.63,467
